,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
"Glutamate binding, activation of AMPA receptors and synaptic...",0.01299556,3.0,0.01299556,18.202793,12.792458,3.0
p53-Dependent G1/S DNA damage checkpoint,0.009502965,2.0,0.009502965,13.262732500000002,9.774643,3.0
Activation of kainate receptors upon glutamate binding,0.0032364626,3.0,0.0032364626,4.399152,2.793591,3.0
APC/C-mediated degradation of cell cycle proteins,0.0025305771,5.0,0.0025305771,3.4007201,0.9491858,3.0
Toll Like Receptor 9 (TLR9) Cascade,0.0024126868,2.0,0.0024126868,3.2339716,2.510164,3.0
Toll Like Receptor 7/8 (TLR7/8) Cascade,0.0021765186,2.0,0.0021765186,2.8999262000000003,2.2681937000000003,3.0
G2/M Transition,0.002024881,9.0,0.00022498678,0.13960448,1.8112879000000002,3.0
Mitotic Prophase,0.0019410888,5.0,0.0019410888,2.566925,0.34521434,3.0
Mitotic Prometaphase,0.0013442980999999999,4.0,0.0013442980999999999,1.7228013999999998,0.29434955,3.0
G1/S Transition,0.0012508763,4.0,0.0012508763,1.590662,0.19863251,3.0
