,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
Trafficking of AMPA receptors,0.014290336,18.0,0.014290336,19.345685999999997,15.20196,2.0
p53-Dependent G1 DNA Damage Response,0.009502965,40.0,0.009502965,12.809994,8.976556,2.0
Condensation of Prophase Chromosomes,0.009413106,16.0,0.009413106,12.687319,9.967684,2.0
Nuclear Envelope Breakdown,0.007241565699999999,32.0,0.007241565699999999,9.722744,6.8705993,2.0
Regulation of actin dynamics for phagocytic cup formation,0.0067831259999999996,2.0,0.0067831259999999996,9.096884,5.8254475999999995,2.0
Peptide chain elongation,0.0064682276,2.0,0.0064682276,8.666986,6.2077947,2.0
RAB geranylgeranylation,0.0060220165,2.0,0.0060220165,5.0875425000000005,3.8855095,2.0
Mitochondrial translation elongation,0.0058976969999999995,2.0,0.0058976969999999995,7.888101600000001,4.813336,2.0
Autodegradation of Cdh1 by Cdh1:APC/C,0.00521699,40.0,0.00521699,6.958804,4.297053,2.0
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh...,0.004384296,41.0,0.004384296,5.822015,3.3425176,2.0
