,coef
R-HSA-70895,0.0
R-HSA-203927,0.0
R-HSA-72613,1.4069269
R-HSA-110314,-4.9916674e-05
R-HSA-163841,0.06428189
R-HSA-210993,-3.730687e-10
R-HSA-163765,0.0
R-HSA-194138,0.00029039796
R-HSA-8963899,1.0722305e-06
R-HSA-5578775,0.0
R-HSA-425366,1.4912459e-06
R-HSA-71406,-2.4365415e-06
R-HSA-140837,1.930557e-07
R-HSA-9018678,-1.0886085e-09
R-HSA-430039,1.3817707e-13
R-HSA-674695,1.8726815
R-HSA-72187,0.36381415
R-HSA-112313,8.392231e-06
R-HSA-2682334,0.6625062
R-HSA-111367,0.0
R-HSA-6811442,3.5617378
R-HSA-1855204,-1.2106415e-11
R-HSA-5250913,0.5425161
R-HSA-2454202,2.7594855
R-HSA-5687613,0.0
R-HSA-69481,0.3005149
R-HSA-1632852,1.3744377
R-HSA-376176,3.0533905
R-HSA-381340,-0.008132135
R-HSA-1855167,-1.0549941e-10
R-HSA-3371497,5.4802503e-11
R-HSA-6809371,4.5048826e-05
R-HSA-8939211,5.5146103
R-HSA-3304351,6.501423e-09
R-HSA-163680,1.6853875e-05
R-HSA-388844,-7.7825524e-07
R-HSA-381033,0.0
R-HSA-112303,0.0
R-HSA-112314,0.23468421
R-HSA-446203,0.06398769
R-HSA-3000471,1.3228694e-09
R-HSA-5661270,0.0
R-HSA-1475029,0.0
R-HSA-3371556,1.8552204
R-HSA-8862803,4.0874287e-12
R-HSA-2151209,2.5362152e-09
R-HSA-8979227,0.0020867463
R-HSA-166658,0.11120693
R-HSA-1855231,0.0
R-HSA-8978868,5.151716e-05
R-HSA-1855192,0.0
R-HSA-76005,1.3913462
R-HSA-1369007,0.0
R-HSA-8982491,1.0480003e-08
R-HSA-212436,58.61471
R-HSA-2160456,0.0
R-HSA-8851680,0.00058620784
R-HSA-5576890,2.7169886e-11
R-HSA-191859,0.000384239
R-HSA-69190,-9.633068e-12
R-HSA-425397,-1.9372163e-07
R-HSA-2990846,12.620054
R-HSA-388396,5.2657104
R-HSA-5223345,0.0
R-HSA-5609975,0.0
R-HSA-8981373,-7.9554603e-13
R-HSA-210744,0.0
R-HSA-190236,5.0193853
R-HSA-76042,1.3944254
R-HSA-2172127,0.025343588
R-HSA-917977,-1.3027651e-08
R-HSA-373753,-6.788871e-08
R-HSA-156580,0.000112152986
R-HSA-2132295,0.90245175
R-HSA-983169,13.019831
R-HSA-8848021,0.011339928
R-HSA-5661231,0.0
R-HSA-2129379,6.4239947e-10
R-HSA-5653890,-3.6817237e-13
R-HSA-381070,6.304216e-05
R-HSA-114604,0.036126688
R-HSA-72172,13.639226
R-HSA-74182,0.0002297394
R-HSA-1222556,3.6053855e-08
R-HSA-1226099,0.1524978
R-HSA-429947,3.3869095e-05
R-HSA-3000484,0.0
R-HSA-2219528,2.0401032
R-HSA-73863,0.0033434322
R-HSA-2161517,0.0
R-HSA-375170,-4.4322356e-08
R-HSA-201451,0.0
R-HSA-5387390,0.10254743
R-HSA-75893,-4.2225037e-15
R-HSA-1592389,-0.0017189621
R-HSA-8941237,0.0
R-HSA-426496,0.0
R-HSA-3560782,-7.142116e-08
R-HSA-8852135,0.16597044
R-HSA-5578749,1.5830662
R-HSA-189483,0.0
R-HSA-1855170,0.0
R-HSA-1799339,1.0646844
R-HSA-69002,-0.0063749654
R-HSA-195258,4.495833
R-HSA-8956321,4.647488e-12
R-HSA-8981607,0.0
R-HSA-3000497,0.0002664102
R-HSA-163359,0.11395674
R-HSA-1368108,-1.0530225e-11
R-HSA-1368071,1.4596541e-08
R-HSA-177929,0.30947793
R-HSA-2564830,3.692935e-11
R-HSA-4791275,3.927664
R-HSA-5617472,1.6552262
R-HSA-1855183,2.6562214e-10
R-HSA-5684996,4.127721
R-HSA-189451,-1.9379809e-14
R-HSA-1296052,-8.983836e-07
R-HSA-9013694,0.007717903
R-HSA-2022090,0.0
R-HSA-170834,0.025465677
R-HSA-163358,8.9346514e-07
R-HSA-774815,4.792869e-07
R-HSA-1221632,5.132927e-05
R-HSA-390466,1.2455852
R-HSA-422356,0.0033713037
R-HSA-1483257,0.07537533
R-HSA-392518,5.737202e-10
R-HSA-977225,-0.00020094712
R-HSA-73856,0.8691408
R-HSA-212300,0.5168914
R-HSA-1980145,7.8382946e-05
R-HSA-1489509,0.21244158
R-HSA-5663084,1.5414054e-11
R-HSA-432142,-1.06162294e-10
R-HSA-211945,0.04609835
R-HSA-1300644,0.001148154
R-HSA-74752,1.7878146
R-HSA-8856828,7.8813944
R-HSA-163200,5.905806e-11
R-HSA-8978934,1.5305353e-10
R-HSA-1912422,0.6327984
R-HSA-5620924,0.04621743
R-HSA-917729,0.89982224
R-HSA-2644603,0.6902071
R-HSA-8868773,2.5802865
R-HSA-2672351,0.0050130207
R-HSA-500792,2.2066188
R-HSA-1300642,0.0
R-HSA-163316,0.0
R-HSA-388841,0.031917267
R-HSA-1442490,-0.00065280084
R-HSA-1296072,4.1119094e-10
R-HSA-9007101,-1.3641872
R-HSA-392154,1.936747e-08
R-HSA-201681,6.495417
R-HSA-73929,-1.8810216e-11
R-HSA-8868766,0.0
R-HSA-76046,1.9239752
R-HSA-1855229,0.0
R-HSA-391160,0.03677789
R-HSA-199977,-0.19991983
R-HSA-1855196,0.0
R-HSA-195253,0.549573
R-HSA-1237044,0.061626192
R-HSA-1855191,0.0
R-HSA-453276,1.7652019
R-HSA-1834949,6.801521e-14
R-HSA-163754,0.0
R-HSA-8951664,10.43319
R-HSA-913531,3.9324968
R-HSA-373760,0.018567013
R-HSA-3214858,4.477467e-07
R-HSA-5632987,0.0
R-HSA-8874211,1.1423022e-06
