,coef
R-HSA-72163,12.699695
R-HSA-5693571,0.09080815
R-HSA-70370,1.665818e-08
R-HSA-427359,1.7636572e-09
R-HSA-2129379,0.0
R-HSA-5632987,2.1554614e-09
R-HSA-5619054,0.0
R-HSA-114516,-5.873058e-05
R-HSA-168255,1.9399729
R-HSA-390522,0.0045285304
R-HSA-5660724,0.0
R-HSA-8849470,0.028082158
R-HSA-5678771,0.0
R-HSA-5655332,0.60361063
R-HSA-5654741,0.20387702
R-HSA-445355,0.07670489
R-HSA-6782135,-0.7433736
R-HSA-73779,0.9332102
R-HSA-983168,17.724146
R-HSA-140875,3.8221166e-11
R-HSA-210500,-3.092692e-08
R-HSA-427652,0.0
R-HSA-4839748,0.3031245
R-HSA-5658208,0.0
R-HSA-5619110,2.0538775e-09
R-HSA-3214841,0.4930015
R-HSA-8849932,0.529332
R-HSA-8851805,2.2783706e-07
R-HSA-381038,0.00020344116
R-HSA-2046104,6.9136185e-08
R-HSA-5637812,-1.2770381e-08
R-HSA-5679096,0.0
R-HSA-210746,0.0
R-HSA-9027604,0.0042295544
R-HSA-5656169,-1.90917e-07
R-HSA-1296067,5.158898e-12
R-HSA-3769402,1.0081668
R-HSA-1474151,3.5988167e-05
R-HSA-5694530,0.23233582
R-HSA-181430,2.8567158e-05
R-HSA-174362,0.027772428
R-HSA-1268020,0.06544863
R-HSA-5661270,0.0
R-HSA-5619096,0.0
R-HSA-4720475,0.0
R-HSA-5083635,-0.000285009
R-HSA-425561,3.4056574e-13
R-HSA-8854691,0.10489837
R-HSA-1632852,0.00023042489
R-HSA-5693565,0.1826695
R-HSA-1660661,0.27809966
R-HSA-5688354,1.5691963e-07
R-HSA-114608,6.0194664
R-HSA-5083627,0.0
R-HSA-445095,1.0009208e-09
R-HSA-933543,0.10973576
R-HSA-5357786,-5.2266462e-09
R-HSA-3656225,0.00079887785
R-HSA-446107,-1.3635713e-10
R-HSA-5663220,2.235195
R-HSA-1442490,0.00012802555
R-HSA-5423646,-1.9244048e-06
R-HSA-5609976,0.0
R-HSA-5602498,-9.521851e-16
R-HSA-917977,0.0062213764
R-HSA-422085,-1.04388365e-08
R-HSA-2559580,4.544216
R-HSA-5657562,0.0
R-HSA-5579002,0.0
R-HSA-5655302,0.02872787
R-HSA-1483206,1.6238958
R-HSA-6807505,0.4568816
R-HSA-191859,-3.6461346e-12
R-HSA-5620912,0.00034976652
R-HSA-5619078,0.0
R-HSA-5660862,0.0
R-HSA-8951664,10.425891
R-HSA-69236,5.7145553
R-HSA-6799990,-7.711732e-09
R-HSA-351200,0.0
R-HSA-5610780,0.21751161
R-HSA-1369062,0.006037744
R-HSA-5576893,0.00044353024
R-HSA-4793952,0.0
R-HSA-6811438,0.75863516
R-HSA-168181,3.2880437
R-HSA-5263617,0.0
R-HSA-376172,0.1389414
R-HSA-5205685,-8.449907e-12
R-HSA-156587,1.2886038e-05
R-HSA-5579020,0.0
R-HSA-8874211,1.5164513e-10
R-HSA-6787450,-6.572598e-05
R-HSA-8934903,0.00062209595
R-HSA-399954,0.9860976
R-HSA-5579016,0.0
R-HSA-1855191,6.8761415e-06
R-HSA-163210,0.0
R-HSA-5358565,1.0623443e-05
R-HSA-399997,-1.2531714e-12
R-HSA-8942233,1.4473485e-12
R-HSA-5619037,0.0
R-HSA-1300645,0.0
R-HSA-5675482,5.3684392e-08
R-HSA-77289,1.1355573e-05
R-HSA-3000157,-0.0003813243
R-HSA-5083636,-1.8629807e-10
R-HSA-5579021,0.0
R-HSA-1855204,1.4413934e-10
R-HSA-6798163,-1.954373e-07
R-HSA-75157,6.479985e-13
R-HSA-1168372,1.3969297
R-HSA-442660,1.9219245e-07
R-HSA-8964038,1.365755e-10
R-HSA-3000471,1.1050495e-12
R-HSA-3371453,2.565146
R-HSA-5610785,0.2924989
R-HSA-8849473,6.633254e-06
R-HSA-5688399,0.0
R-HSA-2555396,7.2186728
R-HSA-2871809,-0.107029855
R-HSA-5662853,0.0
R-HSA-5683329,0.0
R-HSA-1855167,1.8019335e-08
